0.3.0,0.4.2,0.5-dev,1
(etc_2007_05:strCat),string_2007_08:strCat,(string_2008_08:concat),(string_2013_03:concat)
,string_2007_08:substring,string_2008_08:substring,string_2013_03:substring
,string_2007_08:toLowerCase,string_2008_08:toLowerCase,string_2013_03:to-lower-case
,string_2007_08:toUpperCase,string_2008_08:toUpperCase,string_2013_03:to-upper-case
,string_2007_08:trim,string_2008_08:trim,string_2013_03:trim
,,string_2008_08:urlDecode,
,string_2007_08:urlEncode,string_2008_08:urlEncode,
(etc_2007_05:get),(etc_2007_08:get),(etc_2008_08:get),system_2013_03:get
,(math_2007_08:random),(math_2008_08:random),system_2013_03:random
,,,system_2013_03:script
,,(etc_2008_08:system),system_2013_03:system
(etc_2007_05:time),(etc_2007_08:time),(etc_2008_08:time),system_2013_03:time
xsd:type,xsd:type,xsd:type,xsd:type
xml:lang,xml:lang,xml:lang,xml:lang
